word,meaning,type,level,sentence,sentence_cn,phonetic
beautiful,美丽的,形容词_gen,A1,This flower is more beautiful than that one.,这朵花比那朵更美丽。,/ˈbjuːtɪfl/
black,黑色的,形容词_opp,A1,The night is blacker than the day.,夜晚比白天更黑。,/blæk/
bright,明亮的,形容词_opp,A1,The sun is brighter than the moon.,太阳比月亮更亮。,/braɪt/
brown,棕色的,形容词_opp,A1,Her hair is darker brown than mine.,她的头发比我的棕色更深。,/braʊn/
clean,干净的,形容词_opp,A1,The floor is cleaner than the wall.,地板比墙壁更干净。,/kliːn/
clear,清楚的,形容词_opp,A1,Her voice is clearer than his.,她的声音比他的更清晰。,/klɪr/
early,早的,形容词_opp,A1,You are earlier than me today.,你今天比我更早。,/ˈɜːrli/
fat,胖的,形容词_opp,A1,The cat is fatter than the dog.,这只猫比狗更胖。,/fæt/
first,第一的,形容词_opp,A1,She is the first in her class.,她是班里的第一名。,/fɜːrst/
full,满的,形容词_opp,A1,The glass is full of water.,杯子里装满了水。,/fʊl/
good,好的,形容词_opp,A1,This book is better than that one.,这本书比那本更好。,/ɡʊd/
great,伟大的,形容词_opp,A1,The great tree is taller than the others.,这棵大树比其他树更高。,/ɡreɪt/
grey,灰色的,形容词_opp,A1,The sky is greyer today than yesterday.,今天的天空比昨天更灰。,/ɡreɪ/
happy,快乐的,形容词_opp,A1,She is happier than her sister.,她比她姐姐更快乐。,/ˈhæpi/
hard,硬的/困难的,形容词_opp,A1,This stone is harder than wood.,这块石头比木头更硬。,/hɑːrd/
high,高的,形容词_opp,A1,The mountain is higher than the hill.,山比丘陵更高。,/haɪ/
important,重要的,形容词_opp,A1,This matter is more important than that one.,这件事比那件更重要。,/ɪmˈpɔːrtnt/
kind,和善的,形容词_opp,A1,She is kinder than her mother.,她比她母亲更和善。,/kaɪnd/
like,相似的,形容词_opp,A1,The two pictures are very like each other.,这两幅画非常相似。,/laɪk/
long,长的,形容词_opp,A1,The river is longer than the road.,这条河比这条路更长。,/lɔːŋ/
new,新的,形容词_opp,A1,The new house is bigger than the old one.,新房子比旧房子更大。,/nuː/
open,开着的,形容词_opp,A1,The door is open.,门是开着的。,/ˈoʊpən/
poor,贫穷的,形容词_opp,A1,They are poorer than their neighbors.,他们比邻居更穷。,/pʊr/
present,现在的/在场的,形容词_opp,A1,The present situation is difficult.,现在的情况很困难。,/ˈpreznt/
quick,快的,形容词_opp,A1,The rabbit is quicker than the turtle.,兔子比乌龟更快。,/kwɪk/
quiet,安静的,形容词_opp,A1,The library is quieter than the street.,图书馆比街道更安静。,/ˈkwaɪət/
ready,准备好的,形容词_opp,A1,I am ready for the test.,我准备好考试了。,/ˈredi/
red,红色的,形容词_opp,A1,Her dress is redder than mine.,她的裙子比我的更红。,/red/
right,正确的/右边的,形容词_opp,A1,Your answer is more right than mine.,你的答案比我的更正确。,/raɪt/
round,圆形的,形容词_opp,A1,The ball is rounder than the box.,球比盒子更圆。,/raʊnd/
same,相同的,形容词_opp,A1,The two books are the same.,这两本书是一样的。,/seɪm/
second,第二的,形容词_opp,A1,She is the second in her class.,她是班里的第二名。,/ˈsekənd/
strong,强壮的,形容词_opp,A1,He is stronger than his brother.,他比他哥哥更强壮。,/strɔːŋ/
sweet,甜的,形容词_opp,A1,This apple is sweeter than that one.,这个苹果比那个更甜。,/swiːt/
tall,高的,形容词_opp,A1,The man is taller than the boy.,这个男人比男孩更高。,/tɔːl/
tired,疲倦的,形容词_opp,A1,She is more tired than her sister.,她比她妹妹更累。,/ˈtaɪərd/
true,真实的,形容词_opp,A1,Her story is truer than his.,她的故事比他的更真实。,/truː/
warm,温暖的,形容词_opp,A1,The water is warmer than the air.,水比空气更温暖。,/wɔːrm/
wet,湿的,形容词_opp,A1,The ground is wetter than the floor.,地面比地板更湿。,/wet/
wide,宽的,形容词_opp,A1,The river is wider than the stream.,这条河比小溪更宽。,/waɪd/
yellow,黄色的,形容词_opp,A1,The sun is more yellow in the morning.,早晨的太阳更黄。,/ˈjeloʊ/
young,年轻的,形容词_opp,A1,She is younger than her sister.,她比她姐姐更年轻。,/jʌŋ/
bad,坏的,形容词_opp,A1,The weather is worse today than yesterday.,今天天气比昨天更糟。,/bæd/
blue,蓝色的,形容词_opp,A1,The sky is bluer than the sea.,天空比大海更蓝。,/bluː/
cold,冷的,形容词_opp,A1,Winter is colder than autumn.,冬天比秋天更冷。,/koʊld/
dark,黑暗的,形容词_opp,A1,The night is darker than the evening.,夜晚比傍晚更黑。,/dɑːrk/
dead,死亡的,形容词_opp,A1,The dead tree fell to the ground.,死树倒在了地上。,/ded/
dear,亲爱的/贵的,形容词_opp,A1,She is dearer to me than anyone.,她对我来说比任何人都亲。,/dɪr/
different,不同的,形容词_opp,A1,My opinion is different from yours.,我的意见和你的不同。,/ˈdɪfrənt/
dirty,脏的,形容词_opp,A1,The floor is dirtier than the wall.,地板比墙壁更脏。,/ˈdɜːrti/
dry,干的,形容词_opp,A1,The desert is drier than the forest.,沙漠比森林更干燥。,/draɪ/
green,绿色的,形容词_opp,A1,The grass is greener in spring.,春天的草更绿。,/ɡriːn/
last,最后的,形容词_opp,A1,This is the last piece of cake.,这是最后一块蛋糕。,/læst/
late,迟的,形容词_opp,A1,You are later than yesterday.,你比昨天来得更晚。,/leɪt/
left,左边的,形容词_opp,A1,Take the left turn at the corner.,在拐角处向左转。,/left/
old,旧的/老的,形容词_opp,A1,This house is older than that one.,这栋房子比那栋更旧。,/oʊld/
sad,悲伤的,形容词_opp,A1,She is sadder than her friend.,她比她的朋友更悲伤。,/sæd/
short,短的,形容词_opp,A1,The boy is shorter than the man.,男孩比男人更矮。,/ʃɔːrt/
slow,慢的,形容词_opp,A1,The turtle is slower than the rabbit.,乌龟比兔子更慢。,/sloʊ/
small,小的,形容词_opp,A1,This room is smaller than that one.,这个房间比那个更小。,/smɔːl/
white,白色的,形容词_opp,A1,The snow is whiter than the clouds.,雪比云更白。,/waɪt/
wrong,错误的,形容词_opp,A1,His answer is wrong.,他的答案是错误的。,/rɔːŋ/
able,有能力的,形容词_gen,A2,She is more able than her brother.,她比她哥哥更有能力。,/ˈeɪbl/
angry,生气的,形容词_gen,A2,He is angrier today than yesterday.,他今天比昨天更生气。,/ˈæŋɡri/
boiling,沸腾的,形容词_gen,A2,The water is boiling hot.,水沸腾了。,/ˈbɔɪlɪŋ/
broken,破碎的,形容词_gen,A2,The broken cup is on the floor.,破碎的杯子在地板上。,/ˈbroʊkən/
cheap,便宜的,形容词_opp,A2,This shirt is cheaper than that one.,这件衬衫比那件更便宜。,/tʃiːp/
common,常见的,形容词_opp,A2,This bird is more common in the north.,这种鸟在北方更常见。,/ˈkɑːmən/
cut,切开的,形容词_gen,A2,The cut finger is healing slowly.,切伤的手指正在慢慢愈合。,/kʌt/
deep,深的,形容词_opp,A2,The river is deeper than the lake.,这条河比那个湖更深。,/diːp/
electric,电的,形容词_opp,A2,The electric light is brighter than the candle.,电灯比蜡烛更亮。,/ɪˈlektrɪk/
flat,平坦的,形容词_opp,A2,The floor is flatter than the road.,地板比路面更平坦。,/flæt/
free,自由的,形容词_opp,A2,He is freer now than before.,他现在比以前更自由了。,/friː/
healthy,健康的,形容词_gen,A2,He is healthier than he was last year.,他比去年更健康。,/ˈhelθi/
living,活着的,形容词_opp,A2,There are living things in the sea.,海洋里有活的生物。,/ˈlɪvɪŋ/
male,男性的,形容词_opp,A2,The male bird is more colorful than the female.,雄性鸟比雌性更鲜艳。,/meɪl/
married,已婚的,形容词_opp,A2,She is married to a doctor.,她嫁给了一位医生。,/ˈmærid/
natural,自然的,形容词_opp,A2,It is natural for a baby to cry.,婴儿哭是自然的。,/ˈnætʃrəl/
necessary,必要的,形容词_opp,A2,Food is more necessary than drink.,食物比饮料更必要。,/ˈnesəseri/
normal,正常的,形容词_opp,A2,His temperature is normal.,他的体温正常。,/ˈnɔːrml/
past,过去的,形容词_opp,A2,The past week has been busy.,过去的一周很忙碌。,/pæst/
physical,身体的/物理的,形容词_opp,A2,Physical exercise is good for health.,体育锻炼对健康有益。,/ˈfɪzɪkl/
possible,可能的,形容词_gen,A2,It is possible to do it more quickly.,有可能做得更快。,/ˈpɑːsəbl/
sharp,锋利的,形容词_opp,A2,This knife is sharper than that one.,这把刀比那把更锋利。,/ʃɑːrp/
smooth,光滑的,形容词_opp,A2,The surface is smoother than the road.,这个表面比路面更光滑。,/smuːð/
straight,直的,形容词_opp,A2,This line is straighter than that one.,这条线比那条更直。,/streɪt/
thick,厚的,形容词_opp,A2,The wall is thicker than the door.,这堵墙比门更厚。,/θɪk/
tight,紧的,形容词_opp,A2,The shoes are tighter than the boots.,这双鞋比靴子更紧。,/taɪt/
waiting,等待的,形容词_gen,A2,The waiting man is getting impatient.,等待的男人变得不耐烦了。,/ˈweɪtɪŋ/
wise,明智的,形容词_opp,A2,He is wiser than his younger brother.,他比他弟弟更明智。,/waɪz/
awake,醒着的,形容词_gen,A2,The baby is awake.,婴儿醒着。,/əˈweɪk/
bitter,苦的,形容词_opp,A2,The medicine is more bitter than the tea.,这种药比茶更苦。,/ˈbɪtər/
certain,确定的,形容词_gen,A2,I am certain of my answer.,我对我的答案很确定。,/ˈsɜːrtn/
false,假的,形容词_opp,A2,His story is false.,他的故事是假的。,/fɔːls/
female,女性的,形容词_opp,A2,The female bird is smaller than the male.,雌性鸟比雄性更小。,/ˈfiːmeɪl/
foolish,愚蠢的,形容词_opp,A2,It was a foolish thing to do.,做那件事很愚蠢。,/ˈfuːlɪʃ/
future,未来的,形容词_opp,A2,My future plans are unclear.,我未来的计划还不清楚。,/ˈfjuːtʃər/
ill,生病的,形容词_opp,A2,The child is ill today.,孩子今天生病了。,/ɪl/
loud,大声的,形容词_opp,A2,The music is louder than the voices.,音乐比说话声更大。,/laʊd/
low,低的,形容词_opp,A2,The plane is lower than the clouds.,飞机比云层更低。,/loʊ/
narrow,窄的,形容词_opp,A2,The path is narrower than the road.,这条小路比大路更窄。,/ˈneroʊ/
opposite,相反的,形容词_opp,A2,The two men went in opposite directions.,两个人朝相反的方向走了。,/ˈɑːpəzɪt/
public,公共的,形容词_opp,A2,This is a public library.,这是一个公共图书馆。,/ˈpʌblɪk/
rough,粗糙的,形容词_opp,A2,The stone is rougher than the glass.,石头比玻璃更粗糙。,/rʌf/
safe,安全的,形容词_opp,A2,The box is safe under the bed.,盒子在床底下很安全。,/seɪf/
shut,关着的,形容词_opp,A2,The window is shut.,窗户关着。,/ʃʌt/
simple,简单的,形容词_opp,A2,The first question is simpler than the last.,第一个问题比最后一个更简单。,/ˈsɪmpl/
soft,软的,形容词_opp,A2,The pillow is softer than the chair.,枕头比椅子更软。,/sɔːft/
special,特别的,形容词_opp,A2,Today is a special day for us.,今天对我们来说是特别的一天。,/ˈspeʃl/
strange,奇怪的,形容词_opp,A2,The noise was stranger than any I had heard before.,这个声音比我以前听过的任何声音都更奇怪。,/streɪndʒ/
thin,薄的/瘦的,形容词_opp,A2,The paper is thinner than the card.,纸比卡片更薄。,/θɪn/
acid,酸的,形容词_gen,B1,The taste of lemon is more acid than the taste of orange.,柠檬的味道比橙子更酸。,/ˈæsɪd/
automatic,自动的,形容词_gen,B1,The new machine is more automatic than the old one.,这台新机器比旧的那台更自动化。,/ˌɔːtəˈmætɪk/
chemical,化学的,形容词_gen,B1,The chemical reaction is faster than before.,这个化学反应比以前更快。,/ˈkemɪkl/
chief,主要的,形容词_gen,B1,His chief interest is music.,他的主要兴趣是音乐。,/tʃiːf/
complex,复杂的,形容词_gen,B1,The problem is more complex than I thought.,这个问题比我想象的更复杂。,/kəmˈpleks/
conscious,有意识的,形容词_gen,B1,She is conscious of her mistakes.,她意识到了自己的错误。,/ˈkɑːnʃəs/
dependent,依赖的,形容词_gen,B1,The child is dependent on his parents.,这个孩子依赖他的父母。,/dɪˈpendənt/
elastic,有弹性的,形容词_gen,B1,This band is more elastic than that one.,这根带子比那根更有弹性。,/ɪˈlæstɪk/
equal,相等的,形容词_opp,B1,The two amounts are equal.,这两个数量相等。,/ˈiːkwəl/
fertile,肥沃的,形容词_opp,B1,This land is more fertile than that field.,这块土地比那片田地更肥沃。,/ˈfɜːrtl/
fixed,固定的,形容词_opp,B1,The price is fixed and will not change.,价格是固定的，不会变动。,/fɪkst/
frequent,频繁的,形容词_opp,B1,The trains are more frequent on weekdays.,工作日火车班次更频繁。,/ˈfriːkwənt/
general,一般的,形容词_gen,B1,This is a general rule.,这是一般规则。,/ˈdʒenrəl/
hanging,悬挂的,形容词_gen,B1,The hanging lamp is moving slowly.,吊灯在缓慢地移动。,/ˈhæŋɪŋ/
hollow,空心的,形容词_opp,B1,The pipe is hollow.,这根管子是空心的。,/ˈhɑːloʊ/
material,物质的/材料的,形容词_gen,B1,The material world is all around us.,物质世界就在我们周围。,/məˈtɪriəl/
medical,医疗的,形容词_gen,B1,He works in a medical school.,他在一所医学院工作。,/ˈmedɪkl/
military,军事的,形容词_gen,B1,The military forces are larger than before.,军事力量比以前更大了。,/ˈmɪlɪteri/
parallel,平行的,形容词_opp,B1,The two lines are parallel.,这两条线是平行的。,/ˈpærəlel/
political,政治的,形容词_opp,B1,There are two political parties in the country.,这个国家有两个政党。,/pəˈlɪtɪkl/
private,私人的,形容词_opp,B1,This is my private room.,这是我的私人房间。,/ˈpraɪvət/
probable,很可能的,形容词_opp,B1,It is more probable today than yesterday.,今天比昨天可能性更大。,/ˈprɑːbəbl/
regular,规律的,形容词_opp,B1,The trains run at regular times.,火车在固定时间运行。,/ˈreɡjələr/
responsible,负责的,形容词_opp,B1,She is more responsible than her brother.,她比她哥哥更负责任。,/rɪˈspɑːnsəbl/
separate,分开的,形容词_opp,B1,The two rooms are separate.,这两个房间是分开的。,/ˈseprət/
serious,严重的,形容词_opp,B1,His illness is more serious than hers.,他的病比她的更严重。,/ˈsɪriəs/
sticky,粘的,形容词_gen,B1,The glue is stickier than the paste.,这种胶水比浆糊更粘。,/ˈstɪki/
stiff,僵硬的,形容词_gen,B1,The new shoes are stiffer than the old ones.,新鞋比旧鞋更硬。,/stɪf/
sudden,突然的,形容词_opp,B1,The sudden change was a surprise.,突然的变化让人吃惊。,/ˈsʌdn/
violent,暴力的,形容词_opp,B1,The storm is more violent than yesterday.,今天的暴风雨比昨天更猛烈。,/ˈvaɪələnt/
bent,弯曲的,形容词_opp,B1,The stick is bent.,这根棍子是弯的。,/bent/
complete,完整的,形容词_opp,B1,The job is now complete.,工作现在完成了。,/kəmˈpliːt/
cruel,残忍的,形容词_opp,B1,The cruel man hurt the animals.,那个残忍的人伤害了动物。,/ˈkruːəl/
delicate,精致的,形容词_gen,B1,This glass is more delicate than that one.,这个杯子比那个更精致。,/ˈdelɪkət/
feeble,虚弱的,形容词_gen,B1,The old man is feebler than the young boy.,老人比男孩更虚弱。,/ˈfiːbl/
loose,松的,形容词_gen,B1,The screw is looser than before.,螺丝比以前更松了。,/luːs/
mixed,混合的,形容词_opp,B1,The colors are mixed together.,颜色混合在一起了。,/mɪkst/
secret,秘密的,形容词_opp,B1,The secret door is hidden.,秘密的门被藏起来了。,/ˈsiːkrət/
solid,固体的,形容词_opp,B1,The ice is solid water.,冰是固态的水。,/ˈsɑːlɪd/
how,如何/多么,疑问副词_adv_int,A1,How quickly can you finish the work?,你能多快完成这项工作？,/haʊ/
when,什么时候,疑问副词_adv_int,A1,When will you come back?,你什么时候回来？,/wen/
where,在哪里,疑问副词_adv_int,A1,Where is the nearest hospital?,最近的医院在哪里？,/wer/
why,为什么,疑问副词_adv_int,A1,Why are you crying?,你为什么在哭？,/waɪ/
again,再次,副词_adv,A1,Please say that again more slowly.,请再说一遍，慢一点。,/əˈɡen/
far,遥远地,副词_adv,A1,How far can you run without stopping?,你能不停地跑多远？,/fɑːr/
here,这里,副词_adv,A1,Come here quickly.,快过来这里。,/hɪr/
near,在附近,副词_adv,A1,She stood near the window.,她站在窗户附近。,/nɪr/
now,现在,副词_adv,A1,I am busy now.,我现在很忙。,/naʊ/
out,在外面/出去,副词_adv,A1,Let's go out and play.,我们出去玩吧。,/aʊt/
still,仍然,副词_adv,A1,He is still sleeping.,他还在睡觉。,/stɪl/
then,然后/那时,副词_adv,A1,"First study, then you can play.",先学习，然后你可以玩。,/ðen/
there,在那里,副词_adv,A1,Put the book there on the shelf.,把书放在那边的架子上。,/ðer/
together,一起,副词_adv,A1,We sang together happily.,我们一起快乐地唱歌。,/təˈɡeðər/
well,好地,副词_adv,A1,She sings well.,她唱得很好。,/wel/
almost,几乎,副词_adv,A1,I am almost ready to go.,我几乎准备好要走了。,/ˈɔːlmoʊst/
enough,足够地,副词_adv,A1,Is the soup warm enough?,汤够热吗？,/ɪˈnʌf/
little,少量地,副词_adv,A1,Please speak a little more slowly.,请说得再慢一点。,/ˈlɪtl/
much,很多地,副词_adv,A1,Thank you very much for your help.,非常感谢你的帮助。,/mʌtʃ/
not,不,副词_adv,A1,I do not like cold weather.,我不喜欢寒冷的天气。,/nɑːt/
only,仅仅,副词_adv,A1,I have only one dollar left.,我只剩下一个美元了。,/ˈoʊnli/
quite,相当,副词_adv,A1,The food is quite good.,食物相当不错。,/kwaɪt/
so,如此/所以,副词_adv,A1,She ran so fast that no one could catch her.,她跑得如此之快，没人能追上她。,/soʊ/
very,非常,副词_adv,A1,She is very kind to everyone.,她对每个人都非常好。,/ˈveri/
tomorrow,明天,副词_adv,A1,I will see you tomorrow.,我们明天见。,/təˈmɑːroʊ/
yesterday,昨天,副词_adv,A1,It rained heavily yesterday.,昨天下了一场大雨。,/ˈjestərdeɪ/
north,向北,副词_adv,A1,The birds fly north in the spring.,鸟儿在春天向北飞。,/nɔːrθ/
south,向南,副词_adv,A1,The river flows south to the sea.,这条河向南流入大海。,/saʊθ/
east,向东,副词_adv,A1,The sun rises in the east.,太阳从东方升起。,/iːst/
west,向西,副词_adv,A1,They traveled west across the mountains.,他们向西穿越了山脉。,/west/
ever,曾经,副词_adv,A2,Have you ever been to London?,你去过伦敦吗？,/ˈevər/
forward,向前,副词_adv,A2,Move forward one step.,向前移动一步。,/ˈfɔːrwərd/
even,甚至,副词_adv,A2,Even a child can understand this.,连小孩都能理解这个。,/ˈiːvən/
a,一个,冠词_art,A1,There is a cat on the roof.,屋顶上有一只猫。,/ə/
the,这/那,冠词_art,A1,The sun is brighter than the moon.,太阳比月亮更亮。,/ðə/
than,比,连词_conj,A1,She is taller than her brother.,她比她的哥哥高。,/ðæn/
and,和,连词_conj,A1,I like tea and coffee.,我喜欢茶和咖啡。,/ænd/
because,因为,连词_conj,A1,He stayed home because it was raining.,他待在家里因为下雨了。,/bɪˈkɔːz/
but,但是,连词_conj,A1,I like apples but not oranges.,我喜欢苹果但不喜欢橘子。,/bʌt/
or,或者,连词_conj,A1,Do you want tea or coffee?,你想要茶还是咖啡？,/ɔːr/
if,如果,连词_conj,A1,"If you study hard, you will get good marks.",如果你努力学习，你会取得好成绩。,/ɪf/
though,虽然,连词_conj,A2,"Though it was raining, they went out.",虽然下着雨，他们还是出去了。,/ðoʊ/
while,而/当...时,连词_conj,A2,She read a book while waiting for the bus.,她在等公交车的时候读了一本书。,/waɪl/
all,所有,限定词_det,A1,All the students passed the test.,所有学生都通过了考试。,/ɔːl/
any,任何,限定词_det,A1,Do you have any questions?,你有什么问题吗？,/ˈeni/
every,每个,限定词_det,A1,Every child likes to play.,每个孩子都喜欢玩。,/ˈevri/
no,没有,限定词_det,A1,There is no milk left in the bottle.,瓶子里没有牛奶了。,/noʊ/
other,其他,限定词_det,A1,Do you have any other colors?,你还有其他颜色吗？,/ˈʌðər/
some,一些,限定词_det,A1,There are some apples in the basket.,篮子里有一些苹果。,/sʌm/
that,那个,限定词_det,A1,Look at that bird in the sky.,看天上的那只鸟。,/ðæt/
this,这个,限定词_det,A1,This is my favorite book.,这是我最喜欢的书。,/ðɪs/
such,这样的,限定词_det,A2,I have never seen such a big tree.,我从未见过这么大的树。,/sʌtʃ/
please,请,感叹词_int,A1,Please open the door for me.,请帮我开门。,/pliːz/
yes,是,感叹词_int,A1,"Yes, I will help you.",是的，我会帮你。,/jes/
will,将,动词_aux,A1,I will be there at five o'clock.,我五点钟会到那里。,/wɪl/
may,可以,动词_aux,A2,You may go out to play after you finish your work.,你完成工作后可以出去玩。,/meɪ/
answer,答案,名词_pic,A1,Her answer was clearer than his.,她的答案比他的更清晰。,/ˈænsər/
art,艺术,名词_pic,A1,There are many beautiful works of art in the museum.,博物馆里有许多美丽的艺术品。,/ɑːrt/
business,生意/事务,名词_pic,A1,He runs a small business in the town.,他在镇上经营一家小生意。,/ˈbɪznəs/
care,关心/照顾,名词_pic,A1,Take good care of yourself.,好好照顾自己。,/ker/
change,变化/零钱,名词_pic,A1,There was a sudden change in the weather.,天气突然变了。,/tʃeɪndʒ/
example,例子,名词_abs,A1,Give me an example of what you mean.,给我举个例子说明你的意思。,/ɪɡˈzæmpl/
fact,事实,名词_abs,A1,Give me all the facts about the accident.,告诉我事故的所有事实。,/fækt/
form,表格/形式,名词_pic,A1,Please fill out this form.,请填写这张表格。,/fɔːrm/
